卡洛斯·戈恩到底是什么人？,http://zhuanlan.zhihu.com/p/100533722,卡洛斯·戈恩 Carlos Ghosn ，在2018年11月之前，是全世界知名的企业家，日本日产汽车CEO，法国雷诺汽车董事长，雷诺-日产-三菱汽车联盟掌门人，早稻田大学和法政大学荣誉博士，大英帝国勋爵勋章(KBE) 获得者。“将日产汽车扭亏为盈的明星经理人。”然而在2…
2019年日本的一些判决梳理,http://zhuanlan.zhihu.com/p/100370320,大家好，又是一年的结尾了。看着很多号都在做总结，我想了想，我自己没啥好总结的，就在这里，把之前一些悬而未判的案件的结果，在这里进行一下简单的梳理吧。其中有很多案子，我在这个号里都写过，时间大概是1-2年前。想要了解详细实情的读者，可以通过链…
16年前，3名中国留学生，虐杀福冈一家四口,http://zhuanlan.zhihu.com/p/99548377,“12月26日，日本法务省宣布魏巍于当天上午被执行死刑。”看到这条消息，你大概会好奇，“魏巍到底是什么人？”，“为什么在日本执行死刑？”今天这个案子就来给你介绍下，这起发生于2003年震惊全日本的灭门惨案。2003年6月20日，在日本九州北部最大城市，…
你一到夜里就饿，你突然爆肥，或是你有厌食症，可能跟你爱看“玛丽苏”有关,http://zhuanlan.zhihu.com/p/97802181,今儿这篇依然还不是杀人案，但这恐怕是各位女性读者更关心的一个话题：有关你“为什么瘦不下来”。谁让我的读者70%都是女性呢。太长不看版：<b>第一，进食障碍包括暴饮暴食，也包括厌食症</b><b>第二，神经元的形成，你不看正文那也没法讲</b><b>第三，“玛丽苏脑”会让你在…</b>
我们来聊聊“曼森家族”（七）机关算尽,http://zhuanlan.zhihu.com/p/84522579,在除掉唐纳德·希亚之后，曼森对于“身边有叛徒”这件事，并没有停止他的怀疑。而与此同时，曼森身边的“大嘴巴”，其实也不少。这时我们要提到一个从未在本文中出现过，但在美国文化中常常出现，而且对于曼森家族的抓获起到了重要作用的群体：飞车党。飞车…
残酷的“梦想的盒子”,http://zhuanlan.zhihu.com/p/93117027,大家好。今天的更新，如果你有养宠物的话，请抱着它一起看。日本有一种东西，它有一个英文名字，“Dream Box”，直译中文是“梦想的盒子”，你猜这是什么？新出的游戏机？街上的抓娃娃机？年轻人喜欢的盲盒品牌？新年时送给福利院儿童的惊喜？给桥下流浪汉…
我们来聊聊“曼森家族”（六）更多的谋杀,http://zhuanlan.zhihu.com/p/84087918,1969年8月9日，这是个血腥而混乱的一天。当波兰斯基一家的女管家，温妮弗雷德·查普曼（Winifred Chapman）走进西耶罗路10050号的别墅中时，首先映入她眼帘的，就是用莎朗的鲜血写在大门上的“PIG”一词。而当她推开门，看到屋中的恐怖情景时，她几乎吓得坐…
今儿第一次做了白切鸡...,http://zhuanlan.zhihu.com/p/88637298,我一直喜欢吃白切鸡，但是自己从来没做过，因为北京菜市场里很少见合适的鸡肉。前两天网上买了4只黄油鸡，今天试着做了一下。自己吃感觉还行，正好发个图，顺便试试知乎的“带货”新功能。 总结一下：首先涮一遍整鸡，然后冰水再紧一下，不知道这个有什么科…
我们来聊聊“曼森家族”（五）屠杀,http://zhuanlan.zhihu.com/p/83495111,"1968年是一个奇妙的年份。在这一年发生的许多事的背后，都存在着错综复杂的联系，同时这些事件也对我们现今的社会，持续发生着无法扭转的影响。在这一年的4月4日，著名黑人活动家，公民人权斗士马丁·路德·金（Martin Luther King, Jr.）遇刺。而这一悲剧…"
韩国闻庆“十字架自杀”事件,http://zhuanlan.zhihu.com/p/76546788,早先我在写《世越号之谜》这一系列的时候，曾经谈到过韩国曾经出现过的一些邪教、疑似邪教、新宗教等等的组织。而这部分内容，也引发了很多读者朋友的兴趣。从现实的角度出发，韩国的各种宗教组织确实是种类繁多，数量惊人。这里面有受到了韩国基督教组织承…
